city,price,year,manufacturer,condition,cylinders,odometer,title_status,transmission,drive,size,type,paint_color
"columbus, OH",2700,2011,kia,excellent,4 cylinders,99875,clean,automatic,fwd,full-size,sedan,white
"Fort Myers, Florida",9988,2011,bmw,excellent,6 cylinders,99873,clean,automatic,rwd,mid-size,sedan,blue
"kansas city, MO",7800,2014,jeep,excellent,4 cylinders,99873,clean,automatic,4wd,mid-size,SUV,custom
"boise, ID",23995,2013,bmw,excellent,8 cylinders,99865,clean,automatic,4wd,mid-size,sedan,blue
"boise, ID",23995,2013,bmw,excellent,8 cylinders,99865,clean,automatic,4wd,mid-size,sedan,blue
"great falls, MT",35900,2012,ford,excellent,8 cylinders,99863,clean,automatic,4wd,full-size,pickup,silver
"montgomery, AL",11950,2014,ford,good,6 cylinders,99855,clean,automatic,rwd,mid-size,coupe,grey
poconos,7695,2013,chevrolet,excellent,4 cylinders,99853,clean,automatic,fwd,mid-size,sedan,silver
"charlotte, NC",15995,2012,mercedes-benz,good,6 cylinders,99850,clean,automatic,4wd,full-size,SUV,grey
chicago,5250,2011,chevrolet,excellent,4 cylinders,99841,clean,automatic,fwd,full-size,sedan,brown
"Anchorage, AK",13900,2015,ford,excellent,4 cylinders,99835,clean,automatic,4wd,mid-size,SUV,blue
"lexington, KY",17995,2017,chevrolet,like new,8 cylinders,99833,clean,automatic,rwd,full-size,pickup,silver
"jackson, MS",17995,2017,chevrolet,like new,8 cylinders,99833,clean,automatic,rwd,full-size,pickup,silver
"kansas city, MO",31995,2015,chevrolet,excellent,8 cylinders,99832,clean,automatic,4wd,full-size,SUV,white
lake of the ozarks,31995,2015,chevrolet,excellent,8 cylinders,99832,clean,automatic,4wd,full-size,SUV,white
southeast KS,31995,2015,chevrolet,excellent,8 cylinders,99832,clean,automatic,4wd,full-size,SUV,white
"charlotte, NC",8988,2013,kia,excellent,4 cylinders,99832,clean,automatic,fwd,mid-size,SUV,blue
"springfield, MO",12995,2011,gmc,excellent,6 cylinders,99830,clean,automatic,4wd,full-size,SUV,white
"springfield, MO",12995,2011,gmc,excellent,6 cylinders,99830,clean,automatic,4wd,full-size,SUV,white
"Springfield, Dayton, OH",28799,2016,chevrolet,like new,8 cylinders,99824,clean,automatic,4wd,full-size,truck,black
"Springfield, Dayton, OH",28799,2016,chevrolet,like new,8 cylinders,99824,clean,automatic,4wd,full-size,truck,black
las vegas,11995,2016,kia,excellent,6 cylinders,99816,clean,automatic,fwd,full-size,mini-van,black
"Omaha-Council Bluffs, NE-IA",14794,2011,gmc,good,8 cylinders,99804,clean,automatic,4wd,full-size,SUV,black
"Omaha-Council Bluffs, NE-IA",14993,2011,gmc,good,8 cylinders,99804,clean,automatic,4wd,full-size,SUV,black
"eau claire, WI",6995,2013,kia,good,4 cylinders,99804,clean,automatic,fwd,compact,hatchback,red
"Fort Walton Beach, FL",5362,2015,nissan,excellent,4 cylinders,99801,clean,automatic,fwd,compact,hatchback,silver
"mobile, AL",5362,2015,nissan,excellent,4 cylinders,99801,clean,automatic,fwd,compact,hatchback,silver
"pensacola, FL",5362,2015,nissan,excellent,4 cylinders,99801,clean,automatic,fwd,compact,hatchback,silver
san diego,9000,2010,honda,good,4 cylinders,99800,clean,automatic,4wd,compact,SUV,brown
"boise, ID",6000,2011,audi,excellent,4 cylinders,99800,lien,automatic,4wd,mid-size,SUV,blue
"cleveland, OH",3400,2012,nissan,good,4 cylinders,99800,clean,automatic,fwd,compact,other,black
rhode island,7400,2014,honda,like new,4 cylinders,99800,clean,automatic,fwd,compact,sedan,custom
"Scranton--Wilkes-Barre, PA",11750,2012,ford,like new,6 cylinders,99798,clean,automatic,4wd,mid-size,SUV,brown
"washington, DC",7000,2011,honda,good,4 cylinders,99795,clean,automatic,fwd,full-size,sedan,silver
"Albany, NY",15990,2014,ford,excellent,6 cylinders,99788,clean,automatic,4wd,full-size,SUV,silver
detroit metro,21995,2012,ram,excellent,8 cylinders,99786,clean,automatic,4wd,full-size,pickup,white
lake of the ozarks,43465,2016,gmc,good,8 cylinders,99783,clean,automatic,4wd,full-size,truck,grey
"Fort Myers, Florida",17798,2012,ram,like new,8 cylinders,99770,clean,automatic,4wd,full-size,truck,blue
boston,18900,2011,ford,excellent,8 cylinders,99765,clean,automatic,4wd,full-size,pickup,white
boston,18900,2011,ford,excellent,8 cylinders,99765,clean,automatic,4wd,full-size,pickup,white
detroit metro,11995,2013,chrysler,like new,6 cylinders,99759,clean,automatic,rwd,mid-size,sedan,blue
"austin, TX",9999,2013,subaru,excellent,4 cylinders,99755,clean,manual,4wd,compact,sedan,white
"jacksonville, FL",4870,2010,hyundai,excellent,4 cylinders,99754,clean,automatic,fwd,full-size,sedan,blue
"charlotte, NC",11900,2014,gmc,excellent,4 cylinders,99750,clean,automatic,fwd,mid-size,SUV,silver
"rochester, NY",10495,2012,chevrolet,excellent,6 cylinders,99748,clean,automatic,4wd,mid-size,SUV,custom
"charlottesville, VA",21990,2013,chevrolet,good,8 cylinders,99748,clean,automatic,rwd,full-size,truck,white
"Scranton--Wilkes-Barre, PA",21990,2013,chevrolet,good,8 cylinders,99748,clean,automatic,rwd,full-size,truck,white
poconos,21990,2013,chevrolet,good,8 cylinders,99748,clean,automatic,rwd,full-size,truck,white
"catskill, NYs",21990,2013,chevrolet,good,8 cylinders,99748,clean,automatic,rwd,full-size,truck,white
"charleston, WV",21990,2013,chevrolet,good,8 cylinders,99748,clean,automatic,rwd,full-size,truck,white
delaware,21990,2013,chevrolet,good,8 cylinders,99748,clean,automatic,rwd,full-size,truck,white
"finger lakes, NY",10495,2012,chevrolet,excellent,6 cylinders,99748,clean,automatic,4wd,mid-size,SUV,custom
"columbus, OH",9200,2014,ford,excellent,4 cylinders,99745,clean,automatic,4wd,compact,SUV,white
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Worcester, MA",19825,2010,ford,excellent,8 cylinders,99743,clean,automatic,4wd,mid-size,truck,black
"Oklahoma City, OK",17953,2013,ram,good,8 cylinders,99733,clean,automatic,4wd,full-size,pickup,white
"Oklahoma City, OK",17953,2013,ram,good,8 cylinders,99733,clean,automatic,4wd,full-size,pickup,white
south jersey,7999,2011,chrysler,excellent,6 cylinders,99729,clean,automatic,fwd,full-size,van,silver
"charlotte, NC",16500,2013,ford,good,8 cylinders,99723,salvage,automatic,4wd,full-size,pickup,grey
"modesto, CA",16995,2016,honda,like new,4 cylinders,99720,clean,automatic,fwd,mid-size,sedan,white
"abilene, TX",2500,2011,ford,good,4 cylinders,99709,clean,automatic,fwd,mid-size,coupe,custom
utica-rome-oneida,6500,2011,chevrolet,excellent,4 cylinders,99700,clean,automatic,fwd,mid-size,sedan,grey
"Duluth, MN",6900,2011,gmc,excellent,4 cylinders,99700,clean,automatic,fwd,mid-size,SUV,custom
"louisville, KY",12500,2014,ford,good,6 cylinders,99700,rebuilt,automatic,fwd,full-size,SUV,black
ogden-clearfield,7900,2013,nissan,excellent,6 cylinders,99700,clean,automatic,fwd,mid-size,sedan,grey
"charlotte, NC",9900,2013,subaru,excellent,4 cylinders,99700,clean,automatic,4wd,full-size,sedan,white
"GrubSouth, Huntsville, AL",32995,2015,toyota,good,8 cylinders,99688,clean,automatic,4wd,full-size,truck,grey
"chattanooga, TN",32995,2015,toyota,good,8 cylinders,99688,clean,automatic,4wd,full-size,truck,grey
"birmingham, AL",32995,2015,toyota,good,8 cylinders,99688,clean,automatic,4wd,full-size,truck,grey
"cleveland, OH",4500,2012,nissan,excellent,4 cylinders,99683,clean,automatic,fwd,compact,sedan,blue
new hampshire,25990,2015,ford,excellent,8 cylinders,99678,clean,automatic,4wd,full-size,truck,white
"portland, OR",9489,2013,dodge,excellent,6 cylinders,99678,clean,automatic,fwd,mid-size,mini-van,red
"ithaca, NY",14888,2013,nissan,good,6 cylinders,99675,clean,automatic,4wd,full-size,truck,blue
"boise, ID",15788,2012,jeep,good,8 cylinders,99671,clean,automatic,4wd,full-size,SUV,white
"logan, UT",15788,2012,jeep,good,8 cylinders,99671,clean,automatic,4wd,full-size,SUV,white
ventura county,5899,2012,nissan,excellent,4 cylinders,99671,clean,automatic,fwd,compact,sedan,grey
ventura county,5899,2012,nissan,excellent,4 cylinders,99671,clean,automatic,fwd,compact,sedan,grey
"flint, MI",17900,2016,ford,excellent,6 cylinders,99663,clean,automatic,rwd,full-size,van,white
"lansing, MI",17900,2016,ford,excellent,6 cylinders,99663,clean,automatic,rwd,full-size,van,white
saginaw-midland-baycity,17595,2016,ford,excellent,6 cylinders,99663,clean,automatic,rwd,full-size,van,white
"mobile, AL",9788,2014,jeep,good,4 cylinders,99655,clean,automatic,4wd,full-size,SUV,black
"lincoln, NE",5500,2011,nissan,good,4 cylinders,99650,clean,automatic,fwd,mid-size,sedan,black
high rockies,18300,2012,toyota,good,6 cylinders,99642,clean,automatic,4wd,full-size,SUV,white
"rochester, NY",12995,2012,ford,excellent,6 cylinders,99641,clean,automatic,4wd,full-size,SUV,black
"kansas city, MO",33495,2015,chevrolet,excellent,8 cylinders,99630,clean,automatic,4wd,full-size,SUV,white
lake of the ozarks,33495,2015,chevrolet,excellent,8 cylinders,99630,clean,automatic,4wd,full-size,SUV,white
"topeka, KS",33495,2015,chevrolet,excellent,8 cylinders,99630,clean,automatic,4wd,full-size,SUV,white
southeast KS,33495,2015,chevrolet,excellent,8 cylinders,99630,clean,automatic,4wd,full-size,SUV,white
"manhattan, KS",33495,2015,chevrolet,excellent,8 cylinders,99630,clean,automatic,4wd,full-size,SUV,white
"Lewiston, ID-WA",13488,2013,honda,excellent,4 cylinders,99620,clean,automatic,4wd,mid-size,pickup,black
"Akron, OH",7950,2013,ford,excellent,4 cylinders,99618,clean,automatic,fwd,compact,hatchback,blue
"birmingham, AL",8900,2012,honda,good,4 cylinders,99616,clean,automatic,fwd,mid-size,coupe,black
"el paso, TX",25995,2015,ford,excellent,6 cylinders,99606,clean,automatic,rwd,full-size,pickup,silver
"eau claire, WI",6990,2011,toyota,excellent,4 cylinders,99600,clean,automatic,fwd,mid-size,sedan,grey
"boise, ID",6995,2012,volkswagen,excellent,4 cylinders,99600,clean,manual,fwd,compact,hatchback,blue
"boise, ID",6995,2012,volkswagen,excellent,4 cylinders,99600,clean,manual,fwd,compact,hatchback,blue
"ann arbor, MI",16995,2014,honda,excellent,6 cylinders,99600,clean,automatic,fwd,full-size,mini-van,grey
"el paso, TX",25995,2015,ford,excellent,6 cylinders,99586,clean,automatic,rwd,full-size,pickup,silver
"houston, TX",1495,2014,ford,excellent,4 cylinders,99576,clean,automatic,fwd,compact,sedan,black
"hartford, CT",11900,2011,bmw,excellent,8 cylinders,99550,clean,automatic,4wd,mid-size,SUV,silver
las vegas,13895,2014,chrysler,excellent,6 cylinders,99542,clean,automatic,rwd,full-size,sedan,grey
"eau claire, WI",7995,2012,kia,good,4 cylinders,99534,clean,automatic,fwd,mid-size,sedan,grey
"pueblo, CO",28999,2014,gmc,good,8 cylinders,99525,clean,automatic,4wd,full-size,truck,grey
"chattanooga, TN",22999,2012,toyota,good,8 cylinders,99516,clean,automatic,rwd,full-size,SUV,white
"orange county, CA",6499,2010,mazda,good,4 cylinders,99502,clean,automatic,fwd,mid-size,SUV,grey
"la crosse, WI",17998,2011,ford,good,6 cylinders,99501,clean,automatic,4wd,full-size,truck,white
santa barbara,23990,2012,chevrolet,good,8 cylinders,99500,clean,automatic,rwd,full-size,truck,white
"janesville, WI",7695,2012,chevrolet,good,4 cylinders,99500,clean,automatic,fwd,full-size,SUV,red
"Minneapolis–Saint Paul, MN",17900,2012,ram,excellent,8 cylinders,99500,clean,automatic,4wd,full-size,truck,red
"pensacola, FL",24200,2016,ram,excellent,8 cylinders,99500,clean,automatic,4wd,full-size,truck,silver
"Dallas, TX",18500,2013,toyota,excellent,6 cylinders,99500,clean,automatic,rwd,mid-size,truck,grey
"shreveport, LA",18500,2011,ford,excellent,6 cylinders,99500,clean,automatic,rwd,full-size,pickup,white
"Edinburg, TX",7799,2013,acura,excellent,6 cylinders,99500,lien,automatic,fwd,mid-size,sedan,silver
